unit_id,occupation,soc_pattern,gpt_exposure
10,Chief executives,11-1011,0.5077777777777778
20,General and operations managers,11-1021,0.4807692307692308
30,Legislators,11-1031,0.4
40,Advertising and promotions managers,11-2011,0.4767441860465116
51,Marketing managers,11-2021,0.5
52,Sales managers,11-2022,0.45
60,Public relations and fundraising managers,11-2030,0.5544317300232738
101,Administrative services managers,11-3012,0.3913043478260869
102,Facilities managers,11-3013,0.40016233766233766
110,Computer and information systems managers,11-3021,0.5303030303030303
120,Financial managers,11-3031,0.4850552306692657
135,Compensation and benefits managers,11-3111,0.513157894736842
136,Human resources managers,11-3121,0.48
137,Training and development managers,11-3131,0.5
140,Industrial production managers,11-3051,0.40571870150289957
150,Purchasing managers,11-3061,0.5857142857142857
160,"Transportation, storage, and distribution managers",11-3071,0.486525974025974
205,"Farmers, ranchers, and other agricultural managers",11-9013,0.3673469387755101
220,Construction managers,11-9021,0.4444444444444445
230,Education and childcare administrators,11-9030,0.4324629700496358
300,Architectural and engineering managers,11-9041,0.4426108374384236
310,Food service managers,11-9051,0.4166666666666666
325,Funeral home managers,11-9171,0.4285714285714285
335,Entertainment and recreation managers,11-9070,0.37623310193642673
340,Lodging managers,11-9081,0.4565217391304347
350,Medical and health services managers,11-9111,0.4285714285714285
360,Natural sciences managers,11-9121,0.5306967984934087
400,Postmasters and mail superintendents,11-9131,0.5238095238095237
410,"Property, real estate, and community association managers",11-9141,0.4431818181818182
420,Social and community service managers,11-9151,0.3928571428571428
425,Emergency management directors,11-9161,0.4222222222222222
426,"Personal service managers, all other",11-9179,0.45212215320910965
440,"Managers, all other",11-9199,0.4912673640410586
500,"Agents and business managers of artists, performers, and athletes",13-1011,0.5434782608695652
510,"Buyers and purchasing agents, farm products",13-1021,0.5277777777777778
520,"Wholesale and retail buyers, except farm products",13-1022,0.4666666666666667
530,"Purchasing agents, except wholesale, retail, and farm products",13-1023,0.4736842105263157
540,"Claims adjusters, appraisers, examiners, and investigators",13-1030,0.5194963044073365
565,Compliance officers,13-1041,0.5263042749310427
600,Cost estimators,13-1051,0.5
